Designator,Mid X,Mid Y,Rotation,Layer
_9,121.195,-119.0375,0.0,top
_8,286.4955,-176.3375,0.0,top
_7,356.0455,-119.0375,0.0,top
BOOTSW1,125.1652,-138.8947,0.0,bottom
BOOT_R1,130.3468,-139.9615,90.0,bottom
C1,119.12635,-108.84015,270.0,bottom
C10,322.2438,-166.4791,90.0,bottom
C11,286.9124,-166.4791,90.0,bottom
C12,251.581,-166.4791,90.0,bottom
C13,216.2496,-166.4791,90.0,bottom
C14,180.9182,-166.4791,90.0,bottom
C15,145.5868,-166.4791,90.0,bottom
C16,110.2554,-166.4791,90.0,bottom
C2,154.526692,-107.67175,270.0,bottom
C3,189.905264,-107.67175,270.0,bottom
C4,225.283835,-107.67175,270.0,bottom
C5,260.662407,-107.67175,270.0,bottom
C6,296.040978,-107.67175,270.0,bottom
C7,331.41955,-107.67175,270.0,bottom
C8,366.798121,-107.67175,270.0,bottom
C9,357.5752,-167.7491,90.0,bottom
D1,134.995,-102.71875,90.0,bottom
D10,199.638,-121.76875,90.0,bottom
D11,237.738,-121.76875,90.0,bottom
D12,275.838,-121.76875,90.0,bottom
D13,313.938,-121.76875,90.0,bottom
D14,333.75,-121.76875,90.0,bottom
D15,147.187,-140.81875,90.0,bottom
D16,166.237,-140.81875,90.0,bottom
D17,204.337,-140.81875,90.0,bottom
D18,242.437,-140.81875,90.0,bottom
D19,280.537,-140.81875,90.0,bottom
D2,152.013,-102.71875,90.0,bottom
D20,318.637,-140.81875,90.0,bottom
D21,337.687,-140.81875,90.0,bottom
D22,117.05625,-159.86875,90.0,bottom
D23,156.712,-159.86875,90.0,bottom
D24,194.812,-159.86875,90.0,bottom
D25,232.912,-159.86875,90.0,bottom
D26,271.012,-159.86875,90.0,bottom
D27,309.112,-159.86875,90.0,bottom
D28,336.671,-159.9005,90.0,bottom
D29,119.4375,-178.91875,90.0,bottom
D3,190.113,-102.71875,90.0,bottom
D30,164.68125,-178.91875,90.0,bottom
D32,309.9375,-178.91875,90.0,bottom
D33,357.5625,-178.91875,90.0,bottom
D4,228.213,-102.71875,90.0,bottom
D5,266.313,-102.71875,90.0,bottom
D6,304.413,-102.71875,90.0,bottom
D7,343.275,-102.71875,90.0,bottom
D8,142.361,-121.76875,90.0,bottom
D9,161.538,-121.76875,90.0,bottom
ESD1,115.5019,-101.8107,270.0,bottom
F1,103.5244,-96.6037,0.0,bottom
LED1,114.675,-109.5831,0.0,bottom
LED10,326.946429,-165.7425,180.0,bottom
LED11,291.567857,-165.7425,180.0,bottom
LED12,256.189286,-165.7425,180.0,bottom
LED13,220.810714,-165.7425,180.0,bottom
LED14,185.432143,-165.7425,180.0,bottom
LED15,150.053571,-165.7425,180.0,bottom
LED16,114.675,-165.7425,180.0,bottom
LED2,150.053571,-108.40835,0.0,bottom
LED3,185.432143,-108.40835,0.0,bottom
LED4,220.810714,-108.40835,0.0,bottom
LED5,256.189286,-108.40835,0.0,bottom
LED6,291.567857,-108.40835,0.0,bottom
LED7,326.946429,-108.40835,0.0,bottom
LED8,362.325,-108.40835,0.0,bottom
LED9,361.9948,-167.0125,180.0,bottom
MCU1,126.443386,-128.330347,225.0,bottom
MCU_C1,131.185,-122.5625,135.0,bottom
MCU_C2,130.046397,-121.442853,315.0,bottom
MCU_C3,124.8096,-135.0085,180.0,bottom
MCU_C4,127.8068,-135.0085,0.0,bottom
MCU_C5,121.8378,-124.3913,135.0,bottom
MCU_C6,132.334473,-123.711973,315.0,bottom
MCU_C7,133.465985,-124.843485,315.0,bottom
MCU_C8,118.8406,-129.0903,180.0,bottom
MCU_C9,118.8406,-127.5155,180.0,bottom
REG1,107.817,-109.8117,270.0,bottom
REG_C1,104.4134,-108.6687,0.0,bottom
REG_C2,104.4134,-110.9547,0.0,bottom
SW1,105.15,-100.3375,180.0,top
SW10,276.6,-100.3375,0.0,top
SW11,295.65,-100.3375,0.0,top
SW12,314.7,-100.3375,0.0,top
SW13,333.75,-100.3375,0.0,top
SW14,362.325,-100.3375,0.0,top
SW15,109.9125,-119.3875,0.0,top
SW16,133.725,-119.3875,0.0,top
SW17,152.775,-119.3875,0.0,top
SW18,171.825,-119.3875,0.0,top
SW19,190.875,-119.3875,0.0,top
SW2,124.2,-100.3375,180.0,top
SW20,209.925,-119.3875,0.0,top
SW21,228.975,-119.3875,0.0,top
SW22,248.025,-119.3875,0.0,top
SW23,267.075,-119.3875,0.0,top
SW24,286.125,-119.3875,0.0,top
SW25,305.175,-119.3875,0.0,top
SW26,324.225,-119.3875,0.0,top
SW27,343.275,-119.3875,0.0,top
SW28,369.46875,-128.9125,0.0,top
SW29,107.53125,-138.4375,0.0,top
SW3,143.25,-100.3375,0.0,top
SW30,112.29375,-138.4375,180.0,top
SW31,138.4875,-138.4375,0.0,top
SW32,157.5375,-138.4375,0.0,top
SW33,176.5875,-138.4375,0.0,top
SW34,195.6375,-138.4375,0.0,top
SW35,214.6875,-138.4375,0.0,top
SW36,233.7375,-138.4375,0.0,top
SW37,252.7875,-138.4375,0.0,top
SW38,271.8375,-138.4375,0.0,top
SW39,290.8875,-138.4375,0.0,top
SW4,162.3,-100.3375,0.0,top
SW40,309.9375,-138.4375,0.0,top
SW41,328.9875,-138.4375,0.0,top
SW42,348.0375,-138.4375,0.0,top
SW43,107.53125,-157.4875,0.0,top
SW44,128.9625,-157.4875,0.0,top
SW45,148.0125,-157.4875,0.0,top
SW46,167.0625,-157.4875,0.0,top
SW47,186.1125,-157.4875,0.0,top
SW48,205.1625,-157.4875,0.0,top
SW49,224.2125,-157.4875,0.0,top
SW5,181.35,-100.3375,0.0,top
SW50,243.2625,-157.4875,0.0,top
SW51,262.3125,-157.4875,0.0,top
SW52,281.3625,-157.4875,0.0,top
SW53,300.4125,-157.4875,0.0,top
SW54,319.4625,-157.4875,0.0,top
SW55,345.65625,-157.4875,0.0,top
SW56,355.18125,-157.4875,180.0,top
SW57,371.85,-157.4875,0.0,top
SW58,107.53125,-176.5375,0.0,top
SW59,131.34375,-176.5375,0.0,top
SW6,200.4,-100.3375,0.0,top
SW60,155.15625,-176.5375,0.0,top
SW63,226.59375,-176.5375,0.0,top
SW65,298.03125,-176.5375,0.0,top
SW66,321.84375,-176.5375,0.0,top
SW67,345.65625,-176.5375,0.0,top
SW68,369.46875,-176.5375,0.0,top
SW7,219.45,-100.3375,0.0,top
SW8,238.5,-100.3375,0.0,top
SW9,257.55,-100.3375,0.0,top
USB1,114.175,-93.1875,180.0,bottom
USB_R1,107.944,-96.4005,270.0,bottom
USB_R2,120.39,-96.4005,270.0,bottom
